Title,Price1,product__pricing_area2
,$4.00,$8.00 per 100mL
Colgate Total Original Toothpaste | 200g,$5.50,$2.75 per 100g
Colgate Sensitive Pro Relief Whitening Toothpaste | 110g,$11.00,$10.00 per 100g
Coles Liners Regular | 30pack,$1.65,$0.06 per 1ea
U By Kotex Ultrathin Overnight Pads With Wings | 10 pack,$3.08,$0.31 per 1ea | Was $4.40
Elastoplast Flexible Fabric Strips | 40 pack,$4.80,$0.12 per 1ea
,$7.50,$3.00 per 100mL
Nurofen Zavance Fast Pain Relief 200mg Ibuprofen Liquid Capsules | 20 pack,$7.50,$0.38 per 1ea
Nivea Rich Nourishing Body Lotion | 400mL,$9.00,$2.25 per 100mL
Colgate Total Gum Health Toothpaste | 115g,$6.50,$5.65 per 100g
Colgate Max Fresh Coolmint Toothpaste | 200g,$8.00,$4.00 per 100g
Panadol Paracetamol Pain Relief Tablets | 20 pack,$3.70,$0.19 per 1ea
Colgate 360 Degree Soft Toothbrush | 1 pack,$5.00,$5.00 per 1ea
Dove Women Antiperspirant Original | 220mL,$8.50,$3.86 per 100mL
Sensodyne Sensitive Teeth Pain Repair & Protect Whitening Toothpaste | 100g,$12.30,$12.30 per 100g
Palmolive Aromatherapy Hand Wash Pump Sea Minerals | 250mL,$3.00,$1.20 per 100mL
Palmolive Foam Liquid Soap Limited Edition Pump | 250mL,$4.00,$1.60 per 100mL
Nivea Men Everyday Active Aerosol Antiperspirant Deodorant | 250mL,$7.50,$3.00 per 100mL
Libra Exta Regular With Wings Pads | 14 pack,$5.00,$0.36 per 1ea
Palmolive Naturals Balanced & Mild With Chamomile Extracts | 4 pack,$3.50,$0.97 per 100g
Nivea Men Sensitive Protect Aerosol Antiperspirant Deodorant | 250mL,$7.50,$3.00 per 100mL
Libra Extra Super With Wings Pads | 12 pack,$5.00,$0.42 per 1ea
Colgate Total Advanced Clean Toothpaste | 200g,$10.00,$5.00 per 100g
Nivea Body Firming Lotion Q10+ | 400mL,$10.50,$2.63 per 100mL
Hough COVID-19 Home Test | 5 pack,$40.00,$8.00 per 1ea
Coles Liners Long | 26 pack,$1.95,$0.08 per 1ea
,$4.25,$1.93 per 100mL | Was $8.50
Palmolive Naturals Aloe & Olive Soap | 4 pack,$3.50,$0.97 per 100g
Macleans Extreme Clean Lasting Fresh Toothpaste | 170g,$5.00,$2.94 per 100g
,$12.00,$8.57 per 100g
Listerine Freshburst Antibacterial Mouthwash | 1L,$14.00,$1.40 per 100mL
Palmolive Naturals Replenishing Milk & Honey Soap | 4 pack,$3.50,$0.97 per 100g
U by Kotex Extra Pads Super With Wings | 14 pack,$3.08,$0.22 per 1ea | Was $4.40
Panadol Rapid Soluble Tablets for Pain Relief Paracetamol 500mg | 20 pack,$5.75,$0.29 per 1ea
Palmolive Naturals Coconut Body Wash | 500mL,$6.50,$1.30 per 100mL
Palmolive Anti-Stress Shower Gel | 500mL,$6.50,$1.30 per 100mL
Nivea Soft Cream Lotion Moisturiser  + Jojoba Oil & Vitamin E | 200mL,$11.00,$5.50 per 100mL
Oral-B Compact Gum Care Ultrathin Toothbrush Extra Soft | 1 pack,$2.00,$2.00 per 1ea | Was $4.00
Coles Extra Pads Super With Wings | 14 pack,$2.20,$0.16 per 1ea
Mennen Speed Stick Cool Fresh Lady Antiperspirant Deodorant   | 45g,$3.59,$7.98 per 100g | Was $4.49
Band-Aid Tough Strips | 40 pack,$4.80,$0.12 per 1ea | Was $6.00 on Apr 2022
,$7.50,$3.00 per 100mL
Nivea Coconut Indulgent Moisture Shower Gel and Body Wash | 1L,$14.50,$1.45 per 100mL
Coles Cotton Wool Tips Paper Stem | 20 pack,$1.00,$0.05 per 1ea
Coles Extra Pads Regular With Wings | 16 pack,$2.20,$0.14 per 1ea
,$2.50,$0.36 per 1ea
Nivea Hydrocare Moisturising Lip Balm + Shea Butter & SPF15 | 4.8g,$4.50,$93.75 per 100g
Voost Vitamin C 1000mg 20 Blood Orange Effervescent Tablets | 1 pack,$5.40,$5.40 per 1ea | Was $9.00
,$5.60,$5.89 per 100g | Was $8.00
Palmolive Milk And Honey Hand Wash | 1L,$6.00,$0.60 per 100mL
Nurofen Zavance Ibuprofen 200mg Liquid Capsules | 10 pack,$5.00,$0.50 per 1ea
Colgate Zig Zag Value Pack Soft Toothbrush | 6 pack,$10.00,$1.67 per 1ea | Was $11.50 on Feb 2022
Nivea Aloe Vera Moisture Fresh Shower Gel & Body Wash | 1L,$14.50,$1.45 per 100mL
Nivea Men Deep Amazonia Aerosol | 250mL,$7.50,$3.00 per 100mL
Country Life White Fresh Linen Soap | 5 pack,$3.78,$0.84 per 100g
,$4.25,$1.93 per 100mL | Was $8.50
Rexona Women Anti Per spirant Advance Shower Fresh Deodorant | 220mL,$4.25,$1.93 per 100mL | Was $8.50
Coles Nourish Milk & Honey Body Wash | 1L,$4.00,$4.00 per 1L
Dettol Healthy Touch Liquid Antibacterial Instant Hand Sanitiser | 50mL,$3.50,$0.70 per 10mL
Nivea Creme Bar Soap | 200g,$4.00,$2.00 per 100g
,$4.00,$8.00 per 100mL
Dermal Ultra Moisturising Lip Balm | 10g,$6.00,$60.00 per 100g
Palmolive Aloe Vera With Chamomile Hand Wash | 1L,$6.00,$0.60 per 100mL
Carefree Barely There Unscented Panty Liners | 42 pack,$5.00,$0.12 per 1ea
Macleans Extreme Clean White Toothpaste | 170g,$5.00,$2.94 per 100g
Palmolive Men Active Shower Gel | 500mL,$6.50,$1.30 per 100mL
Palmolive Naturals Refreshing Shower Gel | 500mL,$6.50,$1.30 per 100mL
Tena Liners | 30 pack,$3.85,$0.13 per 1ea
Palmolive Raspberry Heavenly Hands Foaming Hand Wash | 250mL,$4.00,$1.60 per 100mL
Nurofen Pain And Inflammation Relief Tablets 200mg Ibuprofen | 12 pack,$4.00,$0.33 per 1ea
Libra Girl Regular Pads | 12 pack,$5.00,$0.42 per 1ea
Palmolive Milk & Honey Shower Gel | 500mL,$6.50,$1.30 per 100mL
Nivea Deo Aero Men Black And White Max Protection | 250mL,$8.50,$3.40 per 100mL
U by Kotex Tampons Regular | 32 pack,$7.00,$0.22 per 1ea
Colgate Sensitive Pro Relief Enamel Repair Toothpaste | 110g,$11.00,$10.00 per 100g
Dove Beauty Bar Regular | 6 pack,$8.80,$1.47 per 1ea
Coles Exfoliating Gloves | 1 pack,$4.00,$4.00 per 1ea
Coles Cotton Balls | 200 pack,$2.00,$0.01 per 1ea
Rexona Womens Invisible Shower Fresh Roll On Deodorant  | 50mL,$2.25,$4.50 per 100mL | Was $4.50
Coles Extra Pads Overnight With Wings | 12 pack,$2.20,$0.18 per 1ea
Advil Liquid Capsules Fast Ibuprofen Pain & Fever Relief | 10 pack,$3.50,$0.35 per 1ea
Carefree Breathable Unscented Panty Liners | 48 pack,$5.50,$0.11 per 1ea
Palmolive Japanese Cherry Blossom Foaming Hand Wash Sanitiser Liquid Refill | 1L,$6.80,$0.68 per 100mL | Was $8.50
Tampax Pearl Compak Regular Tampon With Applicator | 18 pack,$7.50,$0.42 per 1ea
Nurofen Quickzorb Ibuprofen Lysine 342mg Caplets | 24 pack,$9.00,$0.38 per 1ea
Colgate Total Advanced Fresh Multi Benefit Toothpaste | 200g,$10.00,$5.00 per 100g
Colgate Sensitive Pro Relief Repair & Prevent Toothpaste | 110g,$11.00,$10.00 per 100g
Oral-B ALL Rounder Fresh Clean Toothbrush Medium  | 1 pack,$1.50,$1.50 per 1ea | Was $3.00
Oral-B Satin tape Mint dental floss | 25m,$3.16,$0.13 per 1M | Was $3.95
U by Kotex Tampons Mini | 16 pack,$3.18,$0.20 per 1ea | Was $4.55
Wet Ones Be Gentle Anti-Bacterial Hand & Face Wipes | 40 pack,$3.50,$0.09 per 1ea | Was $4.40
Oral B Pro Health Protect Refreshing Clean Toothpaste | 200g,$4.00,$2.00 per 100g | Was $8.00
Elastoplast Extra Tough Waterproof Strips | 16 pack,$4.85,$0.30 per 1ea
,$4.00,$8.00 per 100mL
Imperial Leather Original Toilet Soap | 6 pack,$5.30,$0.88 per 100g
Gillette Blue II UltraGrip Pivot Disposable Shaving Razor | 5 pack,$6.00,$1.20 per 1ea
Libra Original Super Tampons | 16 pack,$4.30,$0.27 per 1ea
Libra Maternity Extra Long With Wings Pads | 10 pack,$5.00,$0.50 per 1ea
Palmolive Naturals Moroccan Argan Oil Conditioning Body Wash | 500mL,$6.50,$1.30 per 100mL
Dove Men Antiperspirant Invisible Dry | 254mL,$8.50,$3.35 per 100mL
Colgate Plax Fresh Mint Mouth Wash | 1L,$12.00,$1.20 per 100mL
Sensodyne Sensitivity & Gum Original Toothpaste | 100g,$12.30,$12.30 per 100g
Swisspers Cotton Round Travel Make Up Pads | 20 pack,$1.50,$0.08 per 1ea
Coles Biodegradable Moisturising 3 In 1 Facial Cleansing Wipes | 30 pack,$1.80,$0.06 per 1ea
Oral B 3D White 2 In 1 Whitening Long Lasting Freshness Paste | 110g,$2.50,$2.27 per 100g | Was $5.00
Coles Ibuprofen Soft Gel Capsules | 20 pack,$2.60,$0.13 per 1ea
U by Kotex Ultrathin Overnight Pads Long With Wings | 8 pack,$3.08,$0.39 per 1ea | Was $4.40
U by Kotex Sport Ultrathin Pads Regular With Wings | 12 pack,$3.43,$0.29 per 1ea | Was $4.90
Scunci Effortless Beauty Knit Pony Wraps | 5 pack,$3.50,$0.70 per 1ea | Was $5.00
,$4.25,$1.93 per 100mL | Was $8.50
Rexona Antiperspirant Women Deodorant Spray Apple Splash | 220mL,$4.25,$1.93 per 100mL | Was $8.50
Listerine FreshBurst Antibacterial Mouthwash | 250mL,$4.40,$1.76 per 100mL | Was $5.50
Tena Lady Normal Pads | 12 pack,$4.41,$0.37 per 1ea
Prize Medal Oatmeal Toilet Soap | 5 pack,$5.00,$1.11 per 100g
Poise Liners For Bladder Leaks Light | 18 pack,$3.30,$0.18 per 1ea
,$7.50,$3.00 per 100mL
Skin Control Pimple Patch Everyday | 36 pack,$9.00,$0.25 per 1ea
Nurofen Zavance Tablets Pain Relief 256mg Ibuprofen | 24 pack,$7.50,$0.31 per 1ea
Poise Pads For Bladder Leaks Regular | 16 pack,$6.00,$0.38 per 1ea
Neutrogena Night Calm Make Up Remover Wipes | 25 pack,$8.50,$0.34 per 1ea
Colgate Total Mint Waxed Dental Floss | 100m,$8.00,$0.08 per 1M
Colgate Multi Benefit Advanced Whitening Toothpaste | 200g,$10.00,$5.00 per 100g
Nivea Shower Gel Monoi Oil & Passionfruit | 1L,$14.50,$14.50 per 1L
Cetaphil Gentle Skin Cleanser | 500mL,$19.00,$3.80 per 100mL
Dove Beauty Bar Sensitive | 4 pack,$7.50,$1.88 per 1ea
Coles Shower Cap | 1 pack,$2.00,$2.00 per 1ea
Oral-B All Rounder Fresh Clean Soft Manual Toothbrush | 1 pack,$1.50,$1.50 per 1ea | Was $3.00
Coles Anti-Bacterial Wipes for Normal Skin | 15 pack,$1.40,$0.09 per 1ea
Oral B Pro Health Advanced Gum Protect Toothpaste | 110g,$2.75,$2.50 per 100g | Was $5.50
Australian Botanical Soap Lemongrass & Lemon Myrtle | 200g,$4.00,$2.00 per 100g
Band-Aid Tough Strips | 20 pack,$4.00,$0.20 per 1ea
Panadol Rapid Caplets | 10 pack,$3.40,$0.34 per 1ea
Nivea Men Deep Roll On Antiperspirant Deodorant | 50mL,$4.00,$8.00 per 100mL
Nivea Pearl & Beauty Roll On Antiperspirant Deodorant | 50mL,$4.00,$8.00 per 100mL
Colgate Total Original Toothpaste | 115g,$4.00,$3.48 per 100g | Was $4.50 on Apr 2022
Nivea Everyday Active Fresh Aerosol Antiperspirant Deodorant | 250mL,$7.50,$3.00 per 100mL
Nivea Men Deep Espresso Aerosol | 250mL,$7.50,$3.00 per 100mL
Colgate Sensitive Whitening Toothpaste | 110g,$9.00,$8.18 per 100g
Hismile Toothpaste Watermelon | 60g,$13.00,$21.67 per 100g
Nivea Soft Cream Travel Mini Lotion Moisturiser + Jojoba Oil & Vitamin E | 50mL,$3.00,$6.00 per 100mL
Colgate Cavity Protection Cool Mint Toothpaste | 180g,$3.50,$1.94 per 100g
Sensodyne Sensitive Teeth Pain Repair & Protect Extra Fresh Toothpaste | 100g,$12.30,$12.30 per 100g
Coles Paracetamol Hard Gel Capsules | 20 pack,$1.25,$0.06 per 1ea
U by Kotex Extra Pads Regular With Wings | 16 pack,$3.00,$0.19 per 1ea | Was $4.40
Mitchum Women's Roll On Powder Fresh Antiperspirant Deodorant | 50mL,$3.52,$7.04 per 100mL | Was $4.40
Grants Of Australia Mild Mint With Aloe Vera Natural Toothpaste | 110g,$3.50,$3.18 per 100g
Oral B Complete 5 Way Clean Soft Toothbrush | 3 pack,$5.00,$1.25 per 1ea | Was $10.00
Nivea Men Cool Kick Roll On Antiperspirant Deodorant | 50mL,$4.00,$8.00 per 100mL
Colgate Slim Soft Charcoal Toothbrush | 1 pack,$3.00,$3.00 per 1ea
Bosistos Waratah Flower Mint & Mandarin Body Wash | 1L,$8.00,$0.80 per 100mL | Was $16.00
Poise Pads For Bladder Leaks Super | 14 pack,$6.00,$0.43 per 1ea
