Title,Price,product__pricing_area
Birds Eye Frozen Steam Fresh Beans Carrot & Broccoli Mix 3 pack | 450g,$3.90,$8.67 per 1kg
McCain Frozen Peas Corn & Carrots | 500g,$3.20,$6.40 per 1kg
Borg's Triangles Spinach Cheese | 360g,$3.50,$0.97 per 100g
Streets Blue Ribbon Neapolitan Ice Cream Tub | 2L,$5.75,$0.29 per 100mL | Was $7.65
Coles Frozen Chicken Breast Nuggets  | 400g,$3.80,$0.95 per 100g
Creative Gourmet Frozen Blueberries | 300g,$2.82,$9.40 per 1kg | Was $5.65
Coles Frozen Chunky Potato Wedges | 750g,$2.30,$3.07 per 1kg
Borg's Feta & Spinach Gozleme | 300g,$3.25,$1.08 per 100g | Was $6.50
Borg's Spinach Pastizzi Value Pack | 1kg,$4.35,$0.44 per 100g | Was $8.75
Peters Lemonade Icy Pole 8 pack | 600mL,$5.00,$0.83 per 100mL
Birds Eye Snap Frozen Garden Peas | 1kg,$4.00,$4.00 per 1kg
Pampas Frozen Puff Pastry Sheets 6 pieces | 1kg,$5.20,$5.20 per 1kg
Sara Lee Strawberries & Cream Ice Cream Tub | 1L,$12.00,$12.00 per 1L
Hong Kong Pork Dim Sims | 480g,$7.50,$1.56 per 100mL
Steggles Frozen Crumbed Chicken Breast Fingers | 400g,$5.50,$13.75 per 1kg
Coles Frozen Beef Party Pies 24 Pack | 1.1 kg,$6.00,$0.55 per 100g
Dr. Oetker Frozen Ristorante Mozzarella Pizza | 335g,$8.50,$2.54 per 100g
Inghams Crumbed Nuggets | 400g,$5.00,$12.50 per 1kg
Coles Frozen Australian Peas | 1kg,$3.30,$3.30 per 1kg
Birds Eye Frozen Steam Fresh Carrot Cauliflower & Broccoli 5 pack | 750g,$5.00,$6.67 per 1kg
Steggles Frozen Tempura Chicken Breast Dino Snacks  | 400g,,
Coles Frozen Brussels Sprouts | 500g,$2.70,$5.40 per 1kg
Coles Meals Satay Chicken | 375g,$3.30,$0.88 per 100g
Steggles Frozen Tempura Chicken Breast Nuggets | 400g,$5.50,$13.75 per 1kg
KB Frozen Prawn Gyoza | 750g,$12.75,$1.70 per 100g
Mr Chen's Prawn Hargow | 700g,$16.00,$2.29 per 100g
Coles Original Chicken Tenders  | 400g,$3.80,$9.50 per 1kg
Hersheys Milk Chocolate Ice Cream | 1L,$4.50,$0.45 per 100mL | Was $9.00
McCain Pub Style Extra Crispy Fries | 750g,$5.50,$7.33 per 1kg
McCain Frozen Sweet Potato Chips | 750g,$6.20,$8.27 per 1kg
Coles Frozen Convenience Meal With Macaroni Cheese | 375g,$3.30,$0.88 per 100g
Birds Eye Frozen Steam Fresh Bean Broccoli & Sugar Snap Peas 3 pack | 450g,$3.90,$8.67 per 1kg
Birds Eye Frozen Steam Fresh Carrot Broccoli & Corn Mix 5 pack | 750g,$5.00,$6.67 per 1kg
Inghams Crumbed Tenders | 400g,$5.00,$12.50 per 1kg
Creative Gourmet Frozen Banana Chunks | 500g,$2.50,$5.00 per 1kg | Was $5.00
Creative Gourmet Frozen Passionfruit Pulp | 300g,$2.82,$9.40 per 1kg | Was $5.65
Creative Gourmet Frozen Pink Dragonfruit Chunks | 300g,$2.82,$9.40 per 1kg | Was $5.65
Peters Life Savers Ice Cream 8 pack | 530mL,$8.00,$1.51 per 100mL
Bulla Creamy Classics Choc Chip Ice Cream Tub | 2L,$10.00,$0.50 per 100mL
Hong Kong Dim Sim Pork And Chive Dumplings | 300g,$7.50,$2.50 per 100g
Drumstick Ice Cream Super Choc 4Pack | 475mL,$9.50,$2.00 per 100mL
Dr. Oetker Frozen Ristorante Quattro Formaggi Pizza | 340g,$8.50,$2.50 per 100g
Bulla Creamy Classics Cookies & Cream Ice Cream Tub | 2L,$10.00,$0.50 per 100mL
Birds Eye Golden Crunch Potato Gems | 900g,$5.50,$6.11 per 1kg
Coles Sweet Chilli Chicken Tenders | 400g,$3.80,$9.50 per 1kg
Coles Honey Caramel & Macadamia Ice Cream Tub | 1L,$6.50,$0.65 per 100mL
Weis Mango & Macadamia Ice Cream Bars 4 pack | 280mL,$6.00,$2.14 per 100mL | Was $8.50
Coles Frozen Carrots Corn & Peas | 1kg,$3.60,$3.60 per 1kg
Haldirams Aloo Paratha | 400g,$7.00,$1.75 per 100g
Borg's Triangles Feta | 360g,$3.50,$0.97 per 100g
Coles Boysenberry Ice Cream Cones | 475mL,$3.90,$0.82 per 100mL
Streets Paddle Pop Chocolate | 544mL,$5.50,$1.01 per 100mL | Was $8.00
Coles RSPCA Approved Butter Chicken With Long Grain Rice | 375g,$3.30,$0.88 per 100g
Steggles Frozen Crumbed Chicken Breast Nuggets | 400g,$5.50,$13.75 per 1kg
Bulla Creamy Classic Sandwich Neapolitan 4 pack | 560mL,$9.00,$1.61 per 100mL
McCain Frozen Peas | 500g,$2.80,$5.60 per 1kg
Coles Frozen Spaghetti Bolognese With Beef Mince | 375g,$3.30,$0.88 per 100g
Bulla Creamy Classics Neapolitan Cone 4 Pack | 520mL,$4.50,$0.87 per 100mL | Was $9.00
Birds Eye Deli Sea Salt & Rosemary Seasoned Chips | 600g,$3.90,$6.50 per 1kg
Streets Golden Gaytime Birthday Cake | 400mL,$4.75,$1.19 per 100mL | Was $9.50
McCain Gluten Free Thin Cut Potato Chips | 750g,$4.00,$5.33 per 1kg
McCain Rosemary & Garlic Sweet Potato | 750g,$6.00,$8.00 per 1kg
Birds Eye Frozen Stir Fry Thai Vegetables | 500g,$3.90,$7.80 per 1kg
Coles Snap Frozen Winter Vegetables | 500g,$2.50,$5.00 per 1kg
Coles Irresistible Ice Cream Salted Caramel | 1L,$6.50,$0.65 per 100mL
Pampas Frozen Puff Pastry Sheets 10 pack | 1.6kg,$7.30,$0.46 per 100g
Inghams Sweet Chilli Tenders | 400g,$5.00,$12.50 per 1kg
McCain Emotibites | 750g,$4.00,$5.33 per 1kg
